created_date,agency,complaint_type,descriptor,resolution_description,resolution_date,sentiment_label,urgency_score
2025-04-28T22:41:38.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-04-28T22:41:38.000,Neutral,2
2025-02-28T22:53:16.000,NYPD,Abandoned Vehicle,With License Plate,The Police Department responded to the complaint and took action to fix the condition.,2025-02-28T22:53:16.000,Neutral,2
2025-01-28T22:42:10.000,NYPD,Illegal Fireworks,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-01-28T22:42:10.000,Neutral,2
2025-02-28T23:32:56.000,DOT,Bus Stop Shelter Complaint,Lighting,"The Department of Transportation inspected the condition you reported. You can find additional information in the ""Notes to Customer"" field.",2025-02-28T23:32:56.000,Neutral,1
2025-06-28T23:44:37.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department reviewed your complaint and provided additional information below.,2025-06-28T23:44:37.000,Frustrated,4
2025-09-28T23:35:28.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded and upon arrival those responsible for the condition were gone.,2025-09-28T23:35:28.000,Neutral,3
2025-01-28T22:47:10.000,DHS,Encampment,,The Department of Homeless Services (DHS) visited the location and is coordinating with their agency partners to address the condition. No further information will be available with 311.,2025-01-28T22:47:10.000,Neutral,2
2025-08-28T23:52:29.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-08-28T23:52:29.000,Frustrated,4
2025-03-28T22:56:53.000,NYPD,Illegal Parking,Parking Permit Improper Use,The Police Department responded and upon arrival those responsible for the condition were gone.,2025-03-28T22:56:53.000,Neutral,2
2025-02-28T21:51:32.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-02-28T21:51:32.000,Neutral,2
2025-11-28T22:42:53.000,NYPD,Noise - Residential,Loud Music/Party,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2025-11-28T22:42:53.000,Frustrated,2
2025-02-28T22:42:36.000,NYPD,Blocked Driveway,No Access,The Police Department responded and upon arrival those responsible for the condition were gone.,2025-02-28T22:42:36.000,Frustrated,3
2025-10-28T23:14:05.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-10-28T23:14:05.000,Frustrated,2
2025-10-28T22:16:32.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a",2025-10-28T22:16:32.000,Neutral,2
2025-02-28T22:17:44.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded to the complaint and took action to fix the condition.,2025-02-28T22:17:44.000,Neutral,2
2025-10-28T22:06:36.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded and upon arrival those responsible for the condition were gone.,2025-10-28T22:06:36.000,Neutral,2
2025-03-28T22:17:05.000,NYPD,Blocked Driveway,No Access,The Police Department issued a summons in response to the complaint.,2025-03-28T22:17:05.000,Frustrated,2
2025-04-28T22:15:01.000,NYPD,Illegal Parking,Posted Parking Sign Violation,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-04-28T22:15:01.000,Neutral,2
2025-07-28T23:38:44.000,NYPD,Abandoned Vehicle,With License Plate,The Police Department responded to the complaint and determined that police action was not necessary.,2025-07-28T23:38:44.000,Neutral,2
2025-06-28T23:56:49.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-06-28T23:56:49.000,Frustrated,4
2025-12-28T23:18:56.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department reviewed your complaint and provided additional information below.,2025-12-28T23:18:56.000,Frustrated,3
2025-08-28T23:26:59.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded and upon arrival those responsible for the condition were gone.,2025-08-28T23:26:59.000,Neutral,2
2025-12-28T22:28:00.000,DOT,Traffic Signal Condition,Controller,"Service Request status for this request is available on the Department of Transportation's website. Please click the ""Learn More"" link below.",2025-12-28T22:28:00.000,Neutral,2
2025-12-28T23:45:17.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a",2025-12-28T23:45:17.000,Neutral,2
2025-11-28T21:41:47.000,NYPD,Noise - Residential,Banging/Pounding,"The New York City Police Department responded to the complaint but officers were unable to gain entry into the premises. If the problem persists, please contact 311 to create another complaint and ensure that contact information (e.g., buzzer number, phone number, etc.) is available to assist the responding officers in gaining entry to properly investigate the complaint.  We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2025-11-28T21:41:47.000,Frustrated,4
2025-05-28T20:51:02.000,NYPD,Noise - Vehicle,Engine Idling,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-05-28T20:51:02.000,Neutral,2
2025-09-28T22:51:57.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-09-28T22:51:57.000,Neutral,2
2025-10-28T23:17:05.000,NYPD,Blocked Driveway,No Access,The Police Department responded and upon arrival those responsible for the condition were gone.,2025-10-28T23:17:05.000,Frustrated,3
2025-09-28T23:00:07.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-09-28T23:00:07.000,Neutral,2
2025-03-28T22:40:13.000,NYPD,Noise - Commercial,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-03-28T22:40:13.000,Frustrated,2
2025-04-28T23:34:31.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-04-28T23:34:31.000,Neutral,2
2025-10-28T22:33:04.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,HPD responded to a complaint of no heat or hot water in the building. An occupant of the building confirmed heat and hot water had been restored when the Inspector attempted to conduct the inspection or contacted you at the phone number associated with the complaint. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.,2025-10-28T22:33:04.000,Neutral,2
2025-09-28T23:21:03.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-09-28T23:21:03.000,Frustrated,3
2025-10-28T23:16:05.000,NYPD,Noise - Street/Sidewalk,Loud Talking,The Police Department responded to the complaint and determined that police action was not necessary.,2025-10-28T23:16:05.000,Neutral,1
2025-04-28T22:00:29.000,NYPD,Noise - Vehicle,Car/Truck Music,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-04-28T22:00:29.000,Neutral,1
2025-06-28T22:50:47.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-06-28T22:50:47.000,Frustrated,2
2025-06-28T23:54:11.000,NYPD,Noise - Vehicle,Car/Truck Music,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-06-28T23:54:11.000,Neutral,1
2025-12-28T21:41:43.000,DOHMH,Indoor Air Quality,Chemical Vapors/Gases/Odors,"The owner or manager of the property was sent an advisory to correct the condition. If the condition persists, please call 311 or go online to www.nyc.gov/311 and submit another complaint.",2025-12-28T21:41:43.000,Frustrated,4
2025-09-28T22:19:27.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-09-28T22:19:27.000,Frustrated,4
2025-02-28T23:26:30.000,HPD,HEAT/HOT WATER,APARTMENT ONLY,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a",2025-02-28T23:26:30.000,Neutral,2
2025-04-28T21:35:00.000,DEP,Water System,Leak (Use Comments) (WA2),,2025-04-28T21:35:00.000,Frustrated,8
2025-12-28T23:29:03.000,NYPD,Noise - Residential,Banging/Pounding,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2025-12-28T23:29:03.000,Neutral,2
2025-08-28T22:37:00.000,DEP,Noise,"Noise: Boat(Engine,Music,Etc) (NR10)",The Department of Environmental Protection researched this complaint and determined that it could be closed.,2025-08-28T22:37:00.000,Neutral,1
2025-11-28T22:22:25.000,NYPD,Noise - Residential,Loud Talking,"The New York City Police Department responded to the complaint and their investigation determined that police action was not necessary. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2025-11-28T22:22:25.000,Neutral,1
2025-11-28T23:36:09.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a",2025-11-28T23:36:09.000,Neutral,2
2025-02-28T22:14:44.000,NYPD,Noise - Commercial,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-02-28T22:14:44.000,Neutral,2
2025-05-28T22:05:30.000,NYPD,Encampment,,The Police Department visited the location and no Encampment was found.,2025-05-28T22:05:30.000,Neutral,1
2025-12-28T22:24:25.000,NYPD,Noise - Residential,Loud Music/Party,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2025-12-28T22:24:25.000,Frustrated,2
2025-11-28T22:13:23.000,NYPD,Noise - Residential,Banging/Pounding,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2025-11-28T22:13:23.000,Frustrated,2
2025-12-28T23:01:54.000,NYPD,Noise - Residential,Banging/Pounding,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2025-12-28T23:01:54.000,Neutral,2
2025-08-28T22:42:58.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-08-28T22:42:58.000,Neutral,2
2025-06-28T22:49:25.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and determined that police action was not necessary.,2025-06-28T22:49:25.000,Frustrated,2
2025-03-28T22:46:47.000,HPD,DOOR/WINDOW,DOOR,HPD conducted an inspection of this complaint. The conditions observed by the inspector did not violate the housing laws enforced by HPD. The complaint has been closed.,2025-03-28T22:46:47.000,Neutral,1
2025-04-28T23:58:41.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded and upon arrival those responsible for the condition were gone.,2025-04-28T23:58:41.000,Frustrated,4
2025-11-28T23:54:52.000,NYPD,Noise - Residential,Banging/Pounding,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2025-11-28T23:54:52.000,Neutral,2
2025-03-28T23:48:42.000,DOHMH,Food Establishment,Odor,The NYC Health Department has responded to your service request.  Restaurant inspection information can be found online at www.nyc.gov/health/abceats. This service request has been closed.,2025-03-28T23:48:42.000,Neutral,2
2025-09-28T22:09:18.000,NYPD,Noise - Commercial,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-09-28T22:09:18.000,Neutral,2
2025-05-28T23:21:19.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded and upon arrival those responsible for the condition were gone.,2025-05-28T23:21:19.000,Neutral,3
2025-01-28T23:34:21.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-01-28T23:34:21.000,Neutral,2
2025-10-28T21:48:10.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,"This complaint is a duplicate of a building-wide condition already reported by another tenant.  The original complaint is still open, and HPD may only need to confirm that the condition exists by inspecting one apartment.  If we cannot contact the tenant from the original complaint or get access to that apartment, HPD may attempt to contact the person who filed this complaint to verify the correction of the condition or may conduct an inspection of your unit. You can check HPDONLINE to see if a",2025-10-28T21:48:10.000,Neutral,2
2025-02-28T22:06:45.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded and upon arrival those responsible for the condition were gone.,2025-02-28T22:06:45.000,Neutral,4
2025-08-28T23:12:24.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-08-28T23:12:24.000,Frustrated,4
2025-11-28T21:57:14.000,NYPD,Noise - Residential,Banging/Pounding,"The New York City Police Department responded to the complaint and their investigation determined that no criminal violation existed. The condition was corrected without the need to issue a summons or effect an arrest. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). Thank you for your attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2025-11-28T21:57:14.000,Neutral,2
2025-04-28T22:14:48.000,NYPD,Noise - Commercial,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-04-28T22:14:48.000,Neutral,2
2025-06-28T23:23:54.000,NYPD,Illegal Fireworks,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-06-28T23:23:54.000,Neutral,2
2025-01-28T22:05:47.000,HPD,HEAT/HOT WATER,APARTMENT ONLY,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.",2025-01-28T22:05:47.000,Neutral,2
2025-09-28T22:46:00.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-09-28T22:46:00.000,Frustrated,3
2025-12-28T21:59:19.000,NYPD,Illegal Parking,Commercial Overnight Parking,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2025-12-28T21:59:19.000,Neutral,1
2025-02-28T22:23:00.000,NYPD,Illegal Parking,Commercial Overnight Parking,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-02-28T22:23:00.000,Neutral,1
2025-06-28T22:53:00.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-06-28T22:53:00.000,Frustrated,2
2025-01-28T22:46:51.000,DSNY,Illegal Dumping,Removal Request,The Department of Sanitation investigated this complaint and found no condition at the location.,2025-01-28T22:46:51.000,Neutral,1
2025-05-28T23:56:27.000,NYPD,Illegal Parking,License Plate Obscured,This complaint does not fall under the Police Department's jurisdiction.,2025-05-28T23:56:27.000,Neutral,1
2025-07-28T22:18:25.000,NYPD,Noise - Vehicle,Car/Truck Music,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-07-28T22:18:25.000,Neutral,1
2025-05-28T23:35:50.000,DHS,Homeless Person Assistance,Non-Chronic,"Based on the nature of this issue, the Department of Homeless Services (DHS) worked with the New York City Police Department (NYPD) and determined that the best course of action was to transfer this issue to the NYPD. Your service request has been closed.",2025-05-28T23:35:50.000,Neutral,1
2025-09-28T22:14:24.000,NYPD,Noise - Commercial,Loud Talking,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-09-28T22:14:24.000,Neutral,1
2025-09-28T22:48:49.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-09-28T22:48:49.000,Frustrated,4
2025-10-28T22:23:28.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department responded and upon arrival those responsible for the condition were gone.,2025-10-28T22:23:28.000,Neutral,3
2025-03-28T23:23:39.000,DOB,Building/Use,Illegal Conversion Of Residential Building/Space,"The Department of Buildings determined that the conditions described in this complaint were addressed under another service request number. Click on ""Learn More"" in the ""Did You Know"" section below for more information.",2025-03-28T23:23:39.000,Neutral,2
2025-08-28T22:29:47.000,NYPD,Drug Activity,Use Outside,The Police Department responded to the complaint and determined that police action was not necessary.,2025-08-28T22:29:47.000,Neutral,2
2025-01-28T23:44:31.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-01-28T23:44:31.000,Neutral,2
2025-06-28T23:04:07.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-06-28T23:04:07.000,Frustrated,2
2025-11-28T22:13:51.000,NYPD,Noise - Residential,Loud Music/Party,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2025-11-28T22:13:51.000,Frustrated,2
2025-11-28T23:40:44.000,NYPD,Noise - Residential,Loud Music/Party,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2025-11-28T23:40:44.000,Frustrated,2
2025-12-28T21:16:47.000,NYPD,Noise - Residential,Banging/Pounding,"The New York City Police Department responded to the complaint and their investigation determined that no criminal violation existed. The condition was corrected without the need to issue a summons or effect an arrest. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). Thank you for your attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2025-12-28T21:16:47.000,Neutral,2
2025-10-28T23:34:11.000,NYPD,Noise - Street/Sidewalk,Loud Talking,The Police Department responded to the complaint and determined that police action was not necessary.,2025-10-28T23:34:11.000,Neutral,1
2025-03-28T23:57:17.000,DPR,Illegal Tree Damage,Trunk Damaged,NYC Parks visited the site and inspected the condition. No work is necessary at this time.,2025-03-28T23:57:17.000,Neutral,1
2025-10-28T21:58:08.000,NYPD,Illegal Parking,Commercial Overnight Parking,The Police Department responded to the complaint and took action to fix the condition.,2025-10-28T21:58:08.000,Neutral,2
2025-12-28T22:51:19.000,HPD,WATER LEAK,HEAVY FLOW,"HPD inspected this condition so the complaint has been closed. Violations were issued. The law provides the property owner time to correct the condition(s).  Violation descriptions and the dates for the property owner to correct any violations are available at HPDONLINE.  If the owner has not corrected the condition by the date provided, you may wish to bring a case in housing court seeking the correction of these conditions.To find out more about how to start a housing court case, visit HPD's w",2025-12-28T22:51:19.000,Critical Panic,8
2025-07-28T22:17:00.000,DEP,Water System,Fire Hydrant Emergency (FHE),The Department of Environmental Protection investigated this complaint and shut the running hydrant.,2025-07-28T22:17:00.000,Neutral,8
2025-05-28T23:55:20.000,NYPD,Illegal Parking,Blocked Hydrant,The Police Department issued a summons in response to the complaint.,2025-05-28T23:55:20.000,Neutral,3
2025-08-28T22:23:53.000,NYPD,Noise - Street/Sidewalk,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-08-28T22:23:53.000,Neutral,2
2025-12-28T22:01:05.000,HPD,UNSANITARY CONDITION,PESTS,"HPD inspected this condition so the complaint has been closed. Violations were issued. The law provides the property owner time to correct the condition(s).  Violation descriptions and the dates for the property owner to correct any violations are available at HPDONLINE.  If the owner has not corrected the condition by the date provided, you may wish to bring a case in housing court seeking the correction of these conditions.To find out more about how to start a housing court case, visit HPD's w",2025-12-28T22:01:05.000,Critical Panic,8
2025-09-28T22:51:37.000,NYPD,Illegal Fireworks,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-09-28T22:51:37.000,Neutral,2
2025-04-28T21:53:47.000,HPD,WATER LEAK,DAMP SPOT,"HPD inspected this condition so the complaint has been closed. Violations were issued. The law provides the property owner time to correct the condition(s).  Violation descriptions and the dates for the property owner to correct any violations are available at HPDONLINE.  If the owner has not corrected the condition by the date provided, you may wish to bring a case in housing court seeking the correction of these conditions.To find out more about how to start a housing court case, visit HPD's w",2025-04-28T21:53:47.000,Neutral,2
2025-01-28T21:59:00.000,DEP,Water System,Excessive Water In Basement (WEFB),The Department of Environmental Protection investigated this complaint and determined it is an inside condition within the complainant's property.,2025-01-28T21:59:00.000,Neutral,2
2025-02-28T22:57:42.000,NYPD,Illegal Parking,Posted Parking Sign Violation,The Police Department responded to the complaint and took action to fix the condition.,2025-02-28T22:57:42.000,Neutral,2
2025-06-28T23:10:40.000,NYPD,Non-Emergency Police Matter,Other (complaint details),The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-06-28T23:10:40.000,Neutral,1
2025-09-28T22:33:54.000,NYPD,Illegal Parking,Double Parked Blocking Traffic,The Police Department responded to the complaint and took action to fix the condition.,2025-09-28T22:33:54.000,Neutral,4
2025-11-28T22:33:34.000,HPD,HEAT/HOT WATER,ENTIRE BUILDING,HPD responded to a complaint of no heat or hot water in the building. An occupant of the building confirmed heat and hot water had been restored when the Inspector attempted to conduct the inspection or contacted you at the phone number associated with the complaint. The complaint has been closed. Please submit a new service request with 311 if the condition still exists.,2025-11-28T22:33:34.000,Neutral,2
2025-01-28T23:31:50.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded to the complaint but officers were unable to gain entry into the premises.,2025-01-28T23:31:50.000,Frustrated,4
2025-12-28T21:29:42.000,NYPD,Illegal Parking,Blocked Sidewalk,"The New York City Police Department responded to the complaint and their investigation determined that a violation of law occurred. Police issued a summons in response to the complaint. Thank you for attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2025-12-28T21:29:42.000,Neutral,2
2025-01-28T21:49:23.000,HPD,WATER LEAK,SLOW LEAK,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,2025-01-28T21:49:23.000,Neutral,2
2025-06-28T22:49:45.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-06-28T22:49:45.000,Frustrated,4
2025-05-28T22:46:17.000,NYPD,Illegal Parking,Commercial Overnight Parking,The Police Department responded to the complaint and took action to fix the condition.,2025-05-28T22:46:17.000,Neutral,2
2025-07-28T22:59:37.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-07-28T22:59:37.000,Neutral,2
2025-04-28T21:34:40.000,NYPD,Noise - Street/Sidewalk,Loud Talking,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-04-28T21:34:40.000,Neutral,1
2025-05-28T22:35:04.000,NYPD,Noise - Residential,Banging/Pounding,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-05-28T22:35:04.000,Neutral,2
2025-02-28T22:09:00.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-02-28T22:09:00.000,Frustrated,2
2025-05-28T22:39:14.000,NYPD,Illegal Parking,Blocked Sidewalk,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,2025-05-28T22:39:14.000,Neutral,2
2025-06-28T23:57:45.000,NYPD,Noise - Residential,Loud Music/Party,The Police Department responded to the complaint and took action to fix the condition.,2025-06-28T23:57:45.000,Frustrated,3
